kode_kecamatan,kecamatan,adm4
district_code,district_name,11.01.01.1001
120832,Dolog Masagal,11.01.01.1439
120908,Meranti,11.01.01.1440
120909,Air Joman,11.01.01.1441
120910,Tanjung Balai,11.01.01.1442
120911,Sei Kepayang,11.01.01.1443
120912,Simpang Empat,11.01.01.1381
120913,Air Batu,11.01.01.1444
120914,Pulau Rakyat,11.01.01.1445
120915,Bandar Pulau,11.01.01.1446
120916,Buntu Pane,11.01.01.1447
120917,Bandar Pasir Mandoge,11.01.01.1448
120918,Aek Kuasan,11.01.01.1449
120919,Kota Kisaran Barat,11.01.01.1450
120920,Kota Kisaran Timur,11.01.01.1451
120921,Aek Songsongan,11.01.01.1452
120922,Rahuning (Rahunig),11.01.01.1453
120923,Sei Dadap,11.01.01.1454
120924,Sei Kepayang Barat,11.01.01.1455
120925,Sei Kepayang Timur,11.01.01.1456
120926,Tinggi Raja,11.01.01.1457
120927,Setia Janji,11.01.01.1458
120928,Silau Laut,11.01.01.1459
120929,Rawang Panca Arga,11.01.01.1460
120930,Pulo Bandring,11.01.01.1461
120931,Teluk Dalam,11.01.01.1161
120932,Aek Ledong,11.01.01.1462
121001,Rantau Utara,11.01.01.1463
121002,Rantau Selatan,11.01.01.1464
121007,Bilah Barat,11.01.01.1465
121008,Bilah Hilir,11.01.01.1466
121009,Bilah Hulu,11.01.01.1467
121014,Pangkatan,11.01.01.1468
121018,Panai Tengah,11.01.01.1469
121019,Panai Hilir,11.01.01.1470
121020,Panai Hulu,11.01.01.1471
121101,Sidikalang,11.01.01.1472
121102,Sumbul,11.01.01.1473
121103,Tigalingga (Tiga Lingga),11.01.01.1474
121104,Siempat Nempu,11.01.01.1475
121105,Silima Pungga Pungga,11.01.01.1476
121106,Tanah Pinem,11.01.01.1477
121107,Siempat Nempu Hulu,11.01.01.1478
121108,Siempat Nempu Hilir,11.01.01.1479
121109,Pegagan Hilir,11.01.01.1480
121110,Parbuluan,11.01.01.1481
121111,Lae Parira,11.01.01.1482
121112,Gunung Sitember,11.01.01.1483
121113,Berampu (Brampu),11.01.01.1484
121114,Silahisabungan (Silahi Sabungan),11.01.01.1485
121115,Sitinjo,11.01.01.1486
121201,Balige,11.01.01.1487
121202,Laguboti,11.01.01.1488
121203,Silaen,11.01.01.1489
121204,Habinsaran,11.01.01.1490
121205,Pintu Pohan Meranti,11.01.01.1491
121206,Borbor,11.01.01.1492
121207,Porsea,11.01.01.1493
121208,Ajibata,11.01.01.1494
121209,Lumban Julu,11.01.01.1495
121210,Uluan,11.01.01.1496
121219,Sigumpar,11.01.01.1497
121220,Siantar Narumonda,11.01.01.1498
121221,Nassau,11.01.01.1499
121222,Tampahan,11.01.01.1500
121223,Bonatua Lunasi,11.01.01.1501
121224,Parmaksian,11.01.01.1502
121301,Panyabungan,11.01.01.1503
121302,Panyabungan Utara,11.01.01.1504
121303,Panyabungan Timur,11.01.01.1505
121304,Panyabungan Selatan,11.01.01.1506
121305,Panyabungan Barat,11.01.01.1507
121306,Siabu,11.01.01.1508
121307,Bukit Malintang,11.01.01.1509
121308,Kotanopan,11.01.01.1510
121309,Lembah Sorik Marapi,11.01.01.1511
121310,Tambangan,11.01.01.1512
121311,Ulu Pungkut,11.01.01.1513
121312,Muara Sipongi,11.01.01.1514
121313,Batang Natal,11.01.01.1515
121314,Lingga Bayu,11.01.01.1516
121315,Batahan,11.01.01.1517
121316,Natal,11.01.01.1518
121317,Muara Batang Gadis,11.01.01.1519
121318,Ranto Baek,11.01.01.1520
121319,Huta Bargot,11.01.01.1521
121320,Puncak Sorik Marapi,11.01.01.1522
121321,Pakantan,11.01.01.1523
121322,Sinunukan,11.01.01.1524
121323,Naga Juang,11.01.01.1525
121401,Lolomatua,11.01.01.1526
121402,Gomo,11.01.01.1527
121403,Lahusa,11.01.01.1528
121404,Hibala,11.01.01.1529
121405,Pulau-Pulau Batu,11.01.01.1530
121406,Teluk Dalam,11.01.01.1161
121407,Amandraya,11.01.01.1531
121408,Lolowau,11.01.01.1532
121409,Susua,11.01.01.1533
121410,Maniamolo,11.01.01.1534
121411,Hilimegai,11.01.01.1535
121412,Toma,11.01.01.1536
121413,Mazino,11.01.01.1537
121414,Umbunasi,11.01.01.1538
121415,Aramo,11.01.01.1539
121416,Pulau-Pulau Batu Timur,11.01.01.1540
121417,Mazo,11.01.01.1541
121418,Fanayama,11.01.01.1542
121419,Ulunoyo,11.01.01.1543
121420,Huruna,11.01.01.1544
121421,O'o'u (Oou),11.01.01.1545
121422,Onohazumba,11.01.01.1546
121423,Hilisalawa'ahe (Hilisalawaahe),11.01.01.1547
121424,Ulususua,11.01.01.1548
121425,Sidua'ori,11.01.01.1549
121426,Somambawa,11.01.01.1550
121427,Boronadu,11.01.01.1551
121428,Simuk,11.01.01.1552
121429,Pulau-Pulau Batu Barat,11.01.01.1553
121430,Pulau-Pulau Batu Utara,11.01.01.1554
121431,Tanah Masa,11.01.01.1555
121432,Luahagundre Maniamolo,11.01.01.1556
121433,Onolalu,11.01.01.1557
121434,Ulu Idanotae,11.01.01.1558
121435,Idanotae,11.01.01.1559
121501,Sitelu Tali Urang Jehe (Sitellu),11.01.01.1560
121502,Kerajaan,11.01.01.1561
121503,Salak,11.01.01.1562
121504,Sitelu Tali Urang Julu (Sitellu),11.01.01.1563
121505,Pergetteng Getteng Sengkut,11.01.01.1564
121506,Pagindar,11.01.01.1565
121507,Tinada,11.01.01.1566
121508,Siempat Rube,11.01.01.1567
121601,Parlilitan,11.01.01.1568
121602,Pollung,11.01.01.1569
121603,Baktiraja (Bakti Raja),11.01.01.1570
121604,Paranginan,11.01.01.1571
121605,Lintong Nihuta,11.01.01.1572
121606,Dolok Sanggul,11.01.01.1573
121607,Sijamapolang (Sijama Polang),11.01.01.1574
121608,Onan Ganjang,11.01.01.1575
121609,Pakkat,11.01.01.1576
121610,Tarabintang (Tara Bintang),11.01.01.1577
121701,Simanindo,11.01.01.1578
121702,Onan Runggu,11.01.01.1579
121703,Nainggolan,11.01.01.1580
121704,Palipi,11.01.01.1581
121705,Harian,11.01.01.1582
121706,Sianjar Mula Mula (Sianjur),11.01.01.1583
121707,Ronggur Nihuta,11.01.01.1584
121708,Pangururan,11.01.01.1585
121709,Sitio-tio,11.01.01.1586
121801,Pantai Cermin,11.01.01.1587
121802,Perbaungan,11.01.01.1588
121803,Teluk Mengkudu,11.01.01.1589
121804,Sei Rampah,11.01.01.1590
121805,Tanjung Beringin,11.01.01.1591
121806,Bandar Khalipah / Khalifah,11.01.01.1592
121807,Dolok Merawan,11.01.01.1593
121808,Sipispis,11.01.01.1594
121809,Dolok Masihul,11.01.01.1595
121810,Kotarih,11.01.01.1596
121811,Silinda,11.01.01.1597
121812,Serba Jadi,11.01.01.1598
121813,Tebing Tinggi,11.01.01.1599
121814,Pegajahan,11.01.01.1600
121815,Sei Bamban,11.01.01.1601
121816,Tebing Syahbandar,11.01.01.1602
121817,Bintang Bayu,11.01.01.1603
121901,Medang Deras,11.01.01.1604
121902,Sei Suka,11.01.01.1605
121903,Air Putih,11.01.01.1606
121904,Lima Puluh (Limapuluh),11.01.01.1607
121905,Talawi,11.01.01.1608
121906,Tanjung Tiram,11.01.01.1609
121907,Sei Balai,11.01.01.1610
121908,Laut Tador,11.01.01.1611
121909,Lima Puluh Pesisir,11.01.01.1612
121910,Datuk Lima Puluh,11.01.01.1613
121911,Datuk Tanah Datar,11.01.01.1614
121912,Nibung Hangus,11.01.01.1615
122001,Dolok Sigompulon,11.01.01.1616
122002,Dolok,11.01.01.1617
122003,Halongonan,11.01.01.1618
122004,Padang Bolak,11.01.01.1619
122005,Padang Bolak Julu,11.01.01.1620
122006,Portibi,11.01.01.1621
122007,Batang Onang,11.01.01.1622
122008,Simangambat,11.01.01.1623
122009,Hulu Sihapas,11.01.01.1624
122010,Padang Bolak Tenggara,11.01.01.1625
122011,Halongonan Timur,11.01.01.1626
122012,Ujung Batu,11.01.01.1627
122101,Sosopan,11.01.01.1628
122102,Barumun Tengah,11.01.01.1629
122103,Huristak,11.01.01.1630
122104,Lubuk Barumun,11.01.01.1631
122105,Hutaraja Tinggi (Huta Raja Tinggi),11.01.01.1632
122106,Ulu Barumun,11.01.01.1633
122107,Barumun,11.01.01.1634
122108,Sosa,11.01.01.1635
122109,Batang Lubu Sutam,11.01.01.1636
122110,Barumun Selatan,11.01.01.1637
122111,Aek Nabara Barumun,11.01.01.1638
122112,Sihapas Barumun,11.01.01.1639
122113,Barumun Baru,11.01.01.1640
122114,Ulu Sosa,11.01.01.1641
122115,Sosa Julu,11.01.01.1642
122116,Barumun Barat,11.01.01.1643
122117,Sosa Timur,11.01.01.1644
122201,Kotapinang (Kota Pinang),11.01.01.1645
122202,Kampung Rakyat,11.01.01.1646
122203,Torgamba,11.01.01.1647
122204,Sungai Kanan (Sei),11.01.01.1648
122205,Silangkitang,11.01.01.1649
122301,Kualuh Hulu,11.01.01.1650
122302,Kualuh Leidong,11.01.01.1651
122303,Kualuh Hilir,11.01.01.1652
122304,Aek Kuo,11.01.01.1653
